Measurement,Well,Group,Time,OCR,ECAR,PER,plate_id,Protocol,Project,Interval,LOCR,LECAR,Code,sample_id,is.out.p
1,A11,FCCP-FLI#D423A_72h,1,11.5277175520812,59.4028001062125,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.444754357363166,4.084341365092779,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,B11,FCCP-FLI#D423A_72h,1,10.3072962465189,52.1217255686676,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.3328520179059784,3.9535818593192595,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,B12,FCCP-FLI#D423A_72h,1,10.925335174694,40.990488539614,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.3910844201169024,3.713340052952516,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,C11,FCCP-FLI#D423A_72h,1,12.4787144682953,55.4879259952829,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.5240243502875273,4.016165447450492,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,C12,FCCP-FLI#D423A_72h,1,11.3504708867704,44.8792610770207,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.4292592308879963,3.803975796663141,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,D11,FCCP-FLI#D423A_72h,1,10.3392552390142,53.2575945065857,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.3359478393115594,3.9751404142622766,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,D12,FCCP-FLI#D423A_72h,1,10.2360923357618,51.2665918287714,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,FCCP,FLI,Int1,2.325919938944801,3.9370393086254776,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,E12,Oligo-FLI#D423A_72h,1,9.59345970748022,48.979888204381,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,Olig,FLI,Int1,2.2610815858259823,3.8914097690465494,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,F11,Oligo-FLI#D423A_72h,1,13.2188698052839,51.0701299501035,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,Olig,FLI,Int1,2.5816453394893686,3.9331997852050424,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,F12,Oligo-FLI#D423A_72h,1,11.7838934939867,54.0611253300634,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,Olig,FLI,Int1,2.466733640930983,3.990115356948023,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,G11,Oligo-FLI#D423A_72h,1,10.303342435164,56.4520784333057,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,Olig,FLI,Int1,2.3324683508625195,4.033392108931255,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,G12,Oligo-FLI#D423A_72h,1,13.4119500167027,49.079130049133,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,Olig,FLI,Int1,2.5961461018376206,3.893433894525329,D423A_72h,D423A_72h-FLI | 20-02-2019,FALSE
1,H11,Oligo-FLI#D423A_72h,1,20.5770197259815,48.4670880654109,0,HEK-FLI#WT_0h+FLI#D423A_0h 20-02-2019,Olig,FLI,Int1,3.024174905827081,3.88088497100309,D423A_72h,D423A_72h-FLI | 20-02-2019,TRUE
